[2026-04-11 21:35:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-12T01:35:34.222000+00:00', 'pinned': False, 'nonce': '1024159652471558666', 'mentions': [{'username': 'nick_reznee', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-05T04:59:17.766000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '269183506838585345', 'global_name': None, 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '0f0ff1891b44ec3128b62cb66ee825b7'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1490214303138320537'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-05T04:59:36.816000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1492699669476806726', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'New lobby created by <@269183506838585345>', 'components': [], 'channel_type': 0, 'channel_id': '1492699667685969973', 'author': {'username': 'SAP Draft Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1490212817830416464', 'global_name': None, 'display_name_styles': None, 'discriminator': '2413', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1490214223538815067'}}
[2026-04-11 21:35:33] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-11 21:35:33] [DEBUG   ] discord.client: Dispatching event message
[2026-04-11 21:35:33] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1492699667685969973/messages with {"content":"New lobby created by <@269183506838585345>","components":[],"nonce":"1024159652471558666","enforce_nonce":true,"tts":false} has returned 200
[2026-04-11 21:35:33] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (62df3a8bf3cb0dd93018dd80d06039f6).
[2026-04-11 21:35:33] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1492699667685969973/messages has received {'type': 0, 'content': 'New lobby created by <@269183506838585345>', 'mentions': [{'id': '269183506838585345', 'username': 'nick_reznee', 'avatar': '0f0ff1891b44ec3128b62cb66ee825b7', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 3648618, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#37ac6a', 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2026-04-12T01:35:34.222000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1492699669476806726', 'channel_id': '1492699667685969973', 'author': {'id': '1490212817830416464', 'username': 'SAP Draft Bot', 'avatar': None, 'discriminator': '2413', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '1024159652471558666'}
[2026-04-11 21:35:33] [DEBUG   ] discord.client: Dispatching event command_completion
[2026-04-11 21:35:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 8, 'op': 0, 'd': {'user_id': '269183506838585345', 'timestamp': 1775957744, 'member': {'user': {'username': 'nick_reznee', 'public_flags': 0, 'primary_guild': None, 'id': '269183506838585345', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '0f0ff1891b44ec3128b62cb66ee825b7'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-05T04:59:17.766000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1492699667685969973', 'guild_id': '1490214223538815067'}}
[2026-04-11 21:35:44] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-11 21:35:44] [DEBUG   ] discord.client: Dispatching event typing
[2026-04-11 21:35:44] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-04-11 21:35:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-12T01:35:45.729000+00:00', 'pinned': False, 'nonce': '1492699714825486336', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-05T04:59:17.766000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1492699717740531743', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!close_lobby', 'components': [], 'channel_type': 0, 'channel_id': '1492699667685969973', 'author': {'username': 'nick_reznee', 'public_flags': 0, 'primary_guild': None, 'id': '269183506838585345', 'global_name': None, 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '0f0ff1891b44ec3128b62cb66ee825b7'}, 'attachments': [], 'guild_id': '1490214223538815067'}}
[2026-04-11 21:35:45] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-11 21:35:45] [DEBUG   ] discord.client: Dispatching event message
[2026-04-11 21:35:45] [DEBUG   ] discord.client: Dispatching event command
[2026-04-11 21:35:45] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1492699667685969973 with None has returned 200
[2026-04-11 21:35:45] [DEBUG   ] discord.http: DELETE /channels/{channel_id} has found its initial rate limit bucket hash (fa219a28141de0d32b282911f0453428).
[2026-04-11 21:35:45] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1492699667685969973 has received {'id': '1492699667685969973', 'type': 0, 'last_message_id': '1492699717740531743', 'flags': 0, 'guild_id': '1490214223538815067', 'name': 'nick_reznee-lobby', 'parent_id': None, 'rate_limit_per_user': 0, 'topic': None, 'position': 1, 'permission_overwrites': [], 'nsfw': False}
[2026-04-11 21:35:45] [DEBUG   ] discord.client: Dispatching event command_completion
[2026-04-11 21:35:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'CHANNEL_DELETE', 's': 10, 'op': 0, 'd': {'version': 1775957745925, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': None, 'nsfw': False, 'name': 'nick_reznee-lobby', 'last_message_id': '1492699717740531743', 'id': '1492699667685969973', 'guild_id': '1490214223538815067', 'flags': 0}}
[2026-04-11 21:35:45] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-11 21:35:45] [DEBUG   ] discord.client: Dispatching event guild_channel_delete
[2026-04-11 21:36:11] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 10.
[2026-04-11 21:36:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-11 21:36:52] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 10.
[2026-04-11 21:36:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-11 21:37:33] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 10.
[2026-04-11 21:37:33] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-11 21:38:14] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 10.
[2026-04-11 21:38:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
